date,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-04-02,,,,,,,,
2024-04-03,0.3121801254421947,0.295622790771082,0.3279551871323902,0.0642418966543329,0.31,0.283,0.407,0.0
2024-04-04,0.3121801254421947,0.295622790771082,0.3279551871323902,0.0642418966543329,0.325,0.292,0.383,0.0
2024-04-05,0.3121801254421947,0.295622790771082,0.3279551871323902,0.0642418966543329,0.325,0.292,0.383,0.0
2024-04-06,0.3113592572300526,0.2973568301296596,0.3276732290776076,0.0636106835626801,0.305,0.324,0.371,0.0
2024-04-07,0.3107092664576333,0.2988916710432112,0.3269077008264587,0.0634913616726966,0.303,0.313,0.384,0.0
2024-04-08,0.3104384875571679,0.2987732240296116,0.3273243530554177,0.0634639353578027,0.339,0.309,0.352,0.0
2024-04-09,0.3105557551925651,0.298097759788107,0.3278825496615249,0.0634639353578027,0.326,0.296,0.378,0.0
2024-04-10,0.3092042219707681,0.2999103261936363,0.3274215164777926,0.0634639353578027,0.274,0.337,0.389,0.0
2024-04-11,0.3092042219707681,0.2999103261936363,0.3274215164777926,0.0634639353578027,0.274,0.337,0.389,0.0
2024-04-12,0.3092042219707681,0.2999103261936363,0.3274215164777926,0.0634639353578027,0.297,0.323,0.38,0.0
2024-04-13,0.3092042219707681,0.2999103261936363,0.3274215164777926,0.0634639353578027,0.297,0.323,0.38,0.0
2024-04-14,0.3092042219707681,0.2999103261936363,0.3274215164777926,0.0634639353578027,0.343,0.281,0.376,0.0
2024-04-15,0.3092042219707681,0.2999103261936363,0.3274215164777926,0.0634639353578027,0.343,0.281,0.376,0.0
2024-04-16,0.3084383543209105,0.2977726591721981,0.3300935489299799,0.0636954375769112,0.306,0.285,0.409,0.0
2024-04-17,0.308351643835961,0.2976412641865473,0.3303116544005802,0.0636954375769112,0.319,0.321,0.36,0.0
2024-04-18,0.3083114402903658,0.2988237396715707,0.329169382461152,0.0636954375769112,0.302,0.314,0.384,0.0
2024-04-19,0.3083114402903658,0.2988237396715707,0.329169382461152,0.0636954375769112,0.313,0.285,0.402,0.0
2024-04-20,0.3065325505440625,0.2993537886793666,0.3299598500522039,0.0641538107243668,0.31,0.307,0.383,0.0
2024-04-21,0.3065325505440625,0.2993537886793666,0.3299598500522039,0.0641538107243668,0.313,0.322,0.365,0.0
2024-04-22,0.3074843167356676,0.2975493339818919,0.3314265609044905,0.0635397883779497,0.337,0.303,0.36,0.0
2024-04-23,0.3071736638060705,0.2981410908631407,0.3311454569528388,0.0635397883779497,0.317,0.32,0.363,0.0
2024-04-24,0.3069342079239463,0.2982013917560018,0.3312442381192957,0.0636201622007558,0.292,0.295,0.413,0.0
2024-04-25,0.3070622982834669,0.2976686719452131,0.3316488675705639,0.0636201622007558,0.327,0.279,0.394,0.0
2024-04-26,0.3074706322337958,0.2974557730610828,0.3314534325043652,0.0636201622007558,0.31,0.312,0.378,0.0
2024-04-27,0.307460959731324,0.2978223350631836,0.3312631113801699,0.0634535938253222,0.328,0.297,0.375,0.0
2024-04-28,0.3068600354468561,0.2974611916693135,0.3320555554069903,0.0636232174768398,0.292,0.311,0.397,0.0
2024-04-29,0.3080399161811658,0.2985412691900536,0.3300561215379015,0.063362693090879,0.337,0.309,0.354,0.0
2024-04-30,0.3077729344926769,0.2987054602925852,0.3301589121238588,0.063362693090879,0.332,0.287,0.381,0.0
2024-05-01,0.3068831227354991,0.2989245423223592,0.331309059921238,0.0628832750209035,0.303,0.327,0.37,0.0
2024-05-02,0.3063534649753415,0.2992771077212375,0.3314698066360571,0.0628996206673637,0.339,0.298,0.363,0.0
2024-05-03,0.3065635552109946,0.2996376875696775,0.3309409917778949,0.0628577654414329,0.275,0.303,0.422,0.0
