date,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-04-02,,,,,,,,
2024-04-03,0.3053416225653426,0.3032671719461764,0.3277985690809297,0.0635926364075512,0.307,0.329,0.364,0.0
2024-04-04,0.3050241504581701,0.305096917279385,0.3272338951380492,0.0626450371243955,0.31,0.318,0.372,0.0
2024-04-05,0.3047835221864714,0.3041483822900307,0.3284230583991023,0.0626450371243955,0.303,0.294,0.403,0.0
2024-04-06,0.3064582879107617,0.3041628372349025,0.3267338377299402,0.0626450371243955,0.329,0.306,0.365,0.0
2024-04-07,0.3070378269243037,0.3033120008001642,0.326508145641723,0.0631420266338089,0.307,0.305,0.388,0.0
2024-04-08,0.3102733453779246,0.2991475118460254,0.3266370252472292,0.0639421175288205,0.325,0.285,0.39,0.0
2024-04-09,0.3101371822639978,0.2986934031833143,0.3272272970238672,0.0639421175288205,0.331,0.295,0.374,0.0
2024-04-10,0.3102150424648108,0.2982981283358106,0.3273059354879987,0.0641808937113797,0.326,0.282,0.392,0.0
2024-04-11,0.3102150424648108,0.2982981283358106,0.3273059354879987,0.0641808937113797,0.307,0.275,0.418,0.0
2024-04-12,0.3104718930518543,0.2980181336148056,0.3269113906492921,0.0645985826840477,0.329,0.311,0.36,0.0
2024-04-13,0.3106885925699666,0.2977659350117527,0.3268552816206025,0.064690190797678,0.323,0.305,0.372,0.0
2024-04-14,0.3097033537939631,0.297939385340729,0.3283327626556154,0.0640244982096923,0.335,0.279,0.386,0.0
2024-04-15,0.3061308562048834,0.2981581293594256,0.3313922869881801,0.0643187274475107,0.313,0.296,0.391,0.0
2024-04-16,0.3061308562048834,0.2981581293594256,0.3313922869881801,0.0643187274475107,0.311,0.293,0.396,0.0
2024-04-17,0.3063674940393726,0.2983814897721403,0.3309322887409762,0.0643187274475107,0.324,0.301,0.375,0.0
2024-04-18,0.3063674940393726,0.2983814897721403,0.3309322887409762,0.0643187274475107,0.309,0.31,0.381,0.0
2024-04-19,0.3064509709158709,0.2980803477847563,0.3311499538518619,0.0643187274475107,0.309,0.303,0.388,0.0
2024-04-20,0.3063153295912215,0.2980367127558394,0.3313292302054283,0.0643187274475107,0.286,0.335,0.379,0.0
2024-04-21,0.3070030700377079,0.2980024971817229,0.3306757053330583,0.0643187274475107,0.317,0.313,0.37,0.0
2024-04-22,0.3070030700377079,0.2980024971817229,0.3306757053330583,0.0643187274475107,0.317,0.313,0.37,0.0
2024-04-23,0.3068389730134798,0.2993529883918941,0.3303942797936086,0.0634137588010173,0.3,0.303,0.397,0.0
2024-04-24,0.3065287800650582,0.2988521237113873,0.3306289286444914,0.0639901675790629,0.32,0.298,0.382,0.0
2024-04-25,0.3073867009362994,0.2989235104899938,0.3307250848512784,0.0629647037224282,0.312,0.283,0.405,0.0
2024-04-26,0.3076279596399822,0.2988629850404019,0.3305443515971876,0.0629647037224282,0.331,0.283,0.386,0.0
2024-04-27,0.3076279596399822,0.2988629850404019,0.3305443515971876,0.0629647037224282,0.291,0.309,0.4,0.0
2024-04-28,0.3068746171914229,0.2994177869800559,0.3307428921060928,0.0629647037224282,0.329,0.274,0.397,0.0
2024-04-29,0.3072951104802197,0.2995142115886648,0.3299544364887302,0.0632362414423851,0.311,0.312,0.377,0.0
2024-04-30,0.306876240368256,0.2996441241641566,0.330235482271457,0.0632441531961302,0.302,0.314,0.384,0.0
2024-05-01,0.3082092150462578,0.298734281788949,0.3302950389665071,0.0627614641982858,0.295,0.319,0.386,0.0
2024-05-02,0.3068663320989973,0.2991549160824522,0.3303829396219906,0.0635958121965599,0.306,0.314,0.38,0.0
2024-05-03,0.3070022531837311,0.2992946056043097,0.3301073290153993,0.0635958121965599,0.309,0.289,0.402,0.0
2024-05-04,0.306734517609754,0.2996039812510523,0.3300656889426337,0.0635958121965599,0.291,0.301,0.408,0.0
2024-05-05,0.3071431972160277,0.2995008169737329,0.3297601736136796,0.0635958121965599,0.323,0.29,0.387,0.0
