date,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-04-03,0.3065490072623982,0.30226102964018375,0.32801288208406437,0.06317708101335345,0.3,0.326,0.374,0.0
2024-04-04,0.3065490072623982,0.30226102964018375,0.32801288208406437,0.06317708101335345,0.312,0.3,0.388,0.0
2024-04-05,0.3057653692609262,0.3032082640633482,0.3273066313691832,0.06371973530654228,0.321,0.324,0.355,0.0
2024-04-06,0.3057653692609262,0.3032082640633482,0.3273066313691832,0.06371973530654228,0.288,0.328,0.384,0.0
2024-04-07,0.3055213316523022,0.30373120794297415,0.3265180815868218,0.06422937881790171,0.318,0.311,0.371,0.0
2024-04-08,0.3110251925561791,0.29726392598719314,0.32836666430566147,0.06334421715096618,0.294,0.293,0.413,0.0
2024-04-09,0.31066096741120125,0.2977114382469019,0.3282833771909306,0.06334421715096618,0.317,0.311,0.372,0.0
2024-04-10,0.31101644880948837,0.2977094668704401,0.3279298671691053,0.06334421715096618,0.32,0.269,0.411,0.0
2024-04-11,0.31101644880948837,0.2977094668704401,0.3279298671691053,0.06334421715096618,0.331,0.306,0.363,0.0
2024-04-12,0.3099300972582339,0.30000864804531185,0.32671703754548803,0.06334421715096618,0.314,0.288,0.398,0.0
2024-04-13,0.31004386973551895,0.2994918383370555,0.32702045682146513,0.06344383510596026,0.329,0.313,0.358,0.0
2024-04-14,0.31004386973551895,0.2994918383370555,0.32702045682146513,0.06344383510596026,0.309,0.314,0.377,0.0
2024-04-16,0.3100274653126502,0.2942959819013557,0.33173719792357953,0.06393935486241446,0.333,0.274,0.393,0.0
2024-04-18,0.310258332757162,0.2938668810852587,0.3323699394829264,0.06350484667465263,0.36,0.262,0.378,0.0
2024-04-19,0.310258332757162,0.2938668810852587,0.3323699394829264,0.06350484667465263,0.339,0.273,0.388,0.0
2024-04-21,0.31002416260241467,0.2935908870781296,0.33225343721538153,0.06413151310407407,0.307,0.278,0.415,0.0
2024-04-22,0.3080357493968517,0.2970387562062774,0.33124051258575077,0.06368498181112019,0.322,0.291,0.387,0.0
2024-04-23,0.3083984633382237,0.2970564759963309,0.33087903160712145,0.06366602905832398,0.323,0.303,0.374,0.0
2024-04-24,0.3083984633382237,0.2970564759963309,0.33087903160712145,0.06366602905832398,0.308,0.307,0.385,0.0
2024-04-25,0.30812571791213667,0.296732751273685,0.331625240035741,0.0635162907784373,0.313,0.314,0.373,0.0
2024-04-26,0.30812571791213667,0.296732751273685,0.331625240035741,0.0635162907784373,0.323,0.28,0.397,0.0
2024-04-27,0.307887215477874,0.2973673735905144,0.33122912015317413,0.0635162907784373,0.302,0.306,0.392,0.0
2024-04-28,0.30747326384471424,0.2978890205118213,0.3311516512871826,0.06348606435628167,0.299,0.319,0.382,0.0
2024-04-29,0.3079067185732279,0.29881078601007705,0.33000031748027264,0.06328217793642228,0.293,0.296,0.411,0.0
2024-04-30,0.30801968920063966,0.29826701096306113,0.3304311218998767,0.06328217793642228,0.308,0.312,0.38,0.0
2024-05-01,0.30836449141968275,0.2977658483635342,0.33055664482919905,0.0633130153875839,0.322,0.312,0.366,0.0
